Company,Location,Sector,About,Amount,Stage,Funding Year
Cars24,Haryana,Retail,CARS24 is an Indiabased platform for selling used cars,200000000.0,Series E,2020
Astrogate Labs,Bengaluru,Spacetech,Astrogate Labs provides highquality products related to space infrastructure,,,2020
Power Gummies,New Delhi,Healthtech,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,,Bridge,2020
Cityflo,Mumbai,Transportation,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute,7000000.0,Series A,2020
Algobulls,Mumbai,Trading Platform,Algobulls is a stateoftheart Trading Platform where customers are provided with Fully Automated Algorithmic Trading,200000.0,,2020
Credgenics,Gurugram,Fintech,Credgenics is a techenabled platform backed by Titan Capital helping fintech lenders and Banks in their critical NPA reduction,3000000.0,Pre-series A,2020
Inntot,Kerala,Tech Company,Inntot Technologies is a technology driven company,,,2020
Ensuredit,Gurugram,Fintech,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AIbased product platforms for transformational customer experience,300000.0,Pre-series A,2020
Shipsy,Gurugram,Ai Company,Shipsys platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,6000000.0,Series A,2020
Erpnext,Mumbai,Tech Company,ERPNext is an Open Source Online ERP solution which includes Accounting CRM Inventory Purchasing HR Support and a lot more,1000000.0,,2020
Lightspeedai,Bengaluru,Photonics Startup,Developer of an optoelectronic processor designed to accelerate AI computations,,,2020
Grip Invest,Gurugram,Fintech,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income,,Pre-series A,2020
Unacademy,Bengaluru,Edtech,Unacademy is an online learning platform providing educational content such as video lectures and examinations,,,2020
Yellow Classes,Gurugram,Edtech,Newage funlearning platform for kids,1300000.0,Pre-series A,2020
Plum,Bengaluru,Healthtech,High quality health insurance and health benefits,4100000.0,,2020
Stage,Indore,Entertainment,STAGE is an Indian language content platform for artistled entertainment,1000000.0,,2020
Nykaa,Mumbai,Cosmetics,Nykaa is an online marketplace for different beauty and wellness products,,,2020
Kaagaz Scanner,Gurugram,Scanning App,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App,575000.0,,2020
Nira,Bengaluru,Fintech,NIRA promotes financial inclusion by creating simple transparent products that empower individuals to live a life of choice and freedom,1000000.0,,2020
Prolixr,Gurugram,Skincare Startup,A premium skincare brand committed towards building innovative skin care wellness,,Seed,2020
Byju'S,Bengaluru,Edtech,BYJUS is an educational technology company that develops personalized learning programs for K12 students,200000000.0,,2020
Damensch,Bengaluru,E-Commerce,DaMENSCH is a designer and seller of mens apparel,6000000.0,,2020
Country Delight,Haryana,Food And Beverages,Country Delight produces and distributes milk intended to provide good quality and unadulterated milk at doorstep,25000000.0,Series C,2020
Signalx,Hyderabad,Ai Startup,SignalX offers an artificial intelligencepowered SaaS platform,800000.0,Seed,2020
Lancify,Bengaluru,Edtech,Lancify is building the worlds strongest young workforce,300000.0,,2020
Krimanshi,Jodhpur,Biotechnology Company,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed,600000.0,Seed,2020
Instoried,Bengaluru,Ai Startup,Instoried is an augmented writing platform which improves customer interest and engagement,1000000.0,Pre-series A,2020
Playerzpot,Mumbai,Gaming Startup,Favorite fantasy cricket football  kabaddi leagues online to win daily cash and prizes,3000000.0,Series A,2020
Instamojo,Bengaluru,Fintech,Instamojo is an ondemand payments platform that enables entrepreneurs to build manage and grow their business online,,,2020
Turtlemint,Mumbai,Healthtech,Turtlemint has built Indian personalized insurance platform,30000000.0,,2020
Arata,New Delhi,E-Commerce,Arata is an ecommerce site for beauty products and cosmetics,1000000.0,Pre-series A,2020
Mpl,Bengaluru,Gaming Startup,Mobile Premier League is a skillbased eSports platform used to offer cash prizes while playing games,5000000.0,,2020
True Balance,Gurugram,Fintech,True Balance is a digital wallet that enables users to access utility bill payment and other financial products,28000000.0,,2020
Thrive,Mumbai,Foodtech,Thrive is allinone restaurant ordering suite for table ordering pickup and delivery with marketing inbuilt,,Pre-series A,2020
Kitchens Centre,New Delhi,Food Service Infrastructure,Kitchens Centre offers turnkey solutions to cloud kitchens,,Pre-series A,2020
Prescribe,Chennai,Healthtech,Provide online services to patients by leveraging WhatsApp,100000.0,,2020
Nepra,Ahmedabad,Cleantech,NEPRA Resource Management provides waste management solutions in India,18000000.0,Series C,2020
Infeedo,Gurugram,Saas Startup,inFeedo is a predictive people analytics company helping 300000 employees in 100 companies make their voice feel heard and valued,3200000.0,,2020
Shilpa Sciences,Bengaluru,Healthtech,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications,,Pre-series A,2020
Arzooo,Bengaluru,Tech Startup,B2B retail tech platform transforming 300000 SMEs in electronics space with its flagship Go Store product,,,2020
Mindtickle,Pune,Saas Platform,MindTickle offers the industrys most comprehensive sales readiness solution for closing knowledge and skill gaps in customerfacing teams,100000000.0,Debt,2020
Slice,Bengaluru,Fintech,Slice is a card for firsttime credit card users They are inventing the future of finance for young Indians,5000000.0,Debt,2020
Rapawalk,Bengaluru,E-Commerce,Rapawalk is an online brand that offers a personalized service of creating your own shoes,300000.0,Seed,2020
Oga Fit'S,Bengaluru,Fitness Startup,The newage home workout app that gives you an unmatched boutique digital fitness studio experience,,Pre-series A,2020
Laval,Bengaluru,Cosmetics,Laval Cosmetics affordable makeup for all ages,,Pre-series A,2020
Stride Ventures,New Delhi,Venture Capitalist,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country,80000000.0,,2020
Blacksoil,Mumbai,Fintech,Blacksoil Advisory is an independent boutique advisory firm,10000000.0,,2020
Biocon,Bengaluru,Healthcare,Biocon is a healthcare and technology company focused on biotechnology,15000000.0,,2020
Clientjoy,Gujarat,Saas Startup,Client Management Software For Modern Agencies,800000.0,Pre-series A,2020
Xpressbees,Pune,E-Commerce,Xpressbees is an ecommerce logistics company that provides reliable logistics solutions to its partners,100000000.0,,2020
Galaxycard,Gurugram,Fintech,Mobile based Instant credit card  Easiest way to get a credit card Get one in 3 minutes,,Seed,2020
Wellness Forever,Mumbai,Healthtech,Wellness Forever is the onestop destination for wellness,100000000.0,,2020
Mooofarm,Gurugram,Agritech,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers,500000.0,Pre-seed,2020
Bitclass,Bengaluru,Paas Startup,BitClass is a PaaS solution which helps teachers set up their independent live classes,2000000.0,Seed,2020
Gonuts,Mumbai,Entertainment,Personalised Video shoutouts from favourite celebrity,400000.0,Seed,2020
Uolo,Bengaluru,Edtech,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience,2000000.0,Seed,2020
Kirana King,"Jaipur, Rajastan",Retail,A revolutionary idea of standardization digitization  centralization to traditional Grocery system,900000.0,Pre-series A,2020
Jade Forest,Delhi,Beverages,NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel we bring you a bespoke range of natural mixers,250000.0,Seed,2020
Ikure,Kolkata,Healthtech,iKure is a social enterprise that delivers primary healthcare and wellness  prevention services to communities in India,,,2020
Frontrow,Bengaluru,Edtech,Comprehensive courses taught by idols,3200000.0,Seed,2020
Reliance Retail,Mumbai,E-Commerce,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited,10000000.0,,2020
Tubbr,"Frisco, Texas, United States",Social Media,Worlds First Personal Social Network,,,2020
Ather Energy,Bengaluru,Automobiles,Ather Energy is a manufacturer of electric scooters,35000000.0,Series D,2020
Routematic,Bengaluru,Saas Startup,Vision is to enable a safer and more comfortable commute to work for employees of India Inc,2000000.0,,2020
Livfin,New Delhi,Fintech,LivFin is a nonbanking financial company registered with the Reserve Bank of India RBI,4700000.0,,2020
Universal Sportsbiz Pvt Ltd,Bengaluru,Fashion Startup,A fashion startup based in Bengaluru,,,2020
Lattu Kids,Mumbai,Edtech,Lattu kids is an edutainment platform for preschool kids,,,2020
Eggoz,Indore,Food & Bevarages,Eggoz is a brand of fresh and chemicalfree eggs produced in techenabled  nutritionengineered deep integration partnership with farmers,1500000.0,Pre-series A,2020
Steradian Semiconductors,Bengaluru,Deeptech,Semiconductor company focused on CMOS millimeter wave products for Radar,,,2020
Charge+Zone,Gujarat,Ev Startup,ChargeZone provides services in renewable energy solutions product development and software engineering company,3000000.0,Pre-series A,2020
Stones2Milestones,Gurugram,Edtech,Stones2milestones is India Delhi Based EdTech Company,2000000.0,Bridge,2020
Udacity,California,Edtech,Udacity develops an online learning platform offering programs in artificial intelligence machine learning and robotics sector,75000000.0,Debt,2020
Ajnalens,Thane,Ar/Vr Startup,AjnaLens develops ARVR wearables primarily for the Defence Education and enterprise customers,1000000.0,Bridge,2020
Gully Network,Bengaluru,E-Commerce,Gully Network is a techenabled network of midsized grocery stores,1200000.0,Pre-series A,2020
Turbohire,Hyderabad,Recruitment Startup,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Humanlike AI,1000000.0,Seed,2020
Traya,Mumbai,Healthtech,work with our customers closely to get their hair health sorted for longterm effective results,,Seed,2020
Charcoal Eats,Mumbai,Qsr Startup,In the last five years have served over 15 million orders and enjoy high customer satisfaction,2000000.0,,2020
Mitron Tv,Bengaluru,Video Platform,Mitron is a free short videoplatform for next generation,,,2020
Svami,Mumbai,Food & Bevarages,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks,800000.0,,2020
Dhurnia,"Dhingsara, Haryana",Edtech,Developer of an online learning platform intended for various competitive exam preparations,100000.0,,2020
Expertrons,Mumbai,Edtech,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews,,,2020
Leena Ai,"New York, United States",Ai Startup,Leena AI offers a human resource management platform that transforms employee experience with conversational AI,8000000.0,,2020
Bizlog,Bengaluru,Logistics,Bizlog Value Chain enables recommerce and circular economy through unique REVERSE LOGISTICS engine,1000000.0,,2020
Tamasha.Live,Mumbai,Gaming,Tamasha offers a platform for influencers to host live video based real money contests and games,300000.0,,2020
Fedo,Bengaluru,Ai Startup,Artificial Intelligence based Credit Score for Health,1000000.0,,2020
Fabhotels,Gurugram,Hospitality,Fabhotels is the online aggregator for hotel rooms It aims to provide standardized services at economical budgets,1000000.0,,2020
Freshokartz,"Jaipur, Rajastan",Agritech,Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds pesticides,1000000.0,Pre-series A,2020
Flexiloans,Mumbai,Fintech,an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick Flexible and Adequate funds for growing their Businesses,6000000.0,Debt,2020
Agrix,Patna,Agritech,Farmingasaservice covering farm machinery and agri input services and provides market linkages especially for fragmented farm owners,,,2020
Bharatagri,Pune,Agritech,A Smart Farming Technology Platform for Indian Farmers,,Pre-series A,2020
Freshtohome,Bengaluru,E-Commerce,Freshtohome is an ecommerce platform for fresh and chemicalfree seafood,121000000.0,Series C,2020
Credable,Mumbai,Fintech,CredAble provides working capital  supply chain finance programs for large enterprises and their suppliers and distributors,4500000.0,,2020
Railofy,Mumbai,Transportation,Railofy is a WL  RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price,5000000.0,Seed,2020
Finova Capital,"Jaipur, Rajastan",Fintech,Finova Capital is a nonbanking financial company,55000000.0,,2020
Teachmint,Bengaluru,Edtech,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,3500000.0,Seed,2020
Peel-Works,Mumbai,E-Commerce,PeelWorks is a tech and data analytics company specializing in ecommerce for corner stores,3000000.0,,2020
Janani,Bengaluru,Fertility Tech,Janani aims to make the process of infertility treatment and assisted fertilisation easier,200000.0,Pre-seed,2020
Credgenics,Gurugram,Fintech,Credgenics is a techenabled platform backed by Titan Capital helping fintech lenders and Banks in their critical NPA reduction,3300000.0,Seed,2020
Finelistings,New Delhi,Luxury Car Startup,A Used Luxury Car Marketplace,,,2020
Wellversed,New Delhi,Healthcare,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual,,Pre-series A,2020
Jumbotail,Bengaluru,E-Commerce,Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology data science and design,11000000.0,Series B2,2020
Winzo,New Delhi,Gaming Startup,WinZO is a mobile esports social gaming platform that offers monetary benefits and prizes to players,2000000.0,,2020
Mcaffeine,Mumbai,Cosmetics,MCaffeine is a personal care brand that offers caffeininfused face body and hair care products,5000000.0,Series B,2020
Pocket Fm,Bengaluru,Fm,Pocket FM is an audiobook  podcast app that brings you over 10K popular audiobooks,5000000.0,Series A,2020
Snackible,Mumbai,Healthcare,Snackible operates a healthfood production company designed to sell healthy snack food via online and offline channels,,Bridge,2020
Freshtohome,Bengaluru,E-Commerce,Freshtohome is an ecommerce platform for fresh and chemicalfree seafood,16000000.0,,2020
Jumbotail,Bengaluru,Retail,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,11000000.0,Series B2,2020
Nykaa,Mumbai,E-Commerce,Nykaa is an online marketplace for different beauty and wellness products,,,2020
Tagz Foods,Bengaluru,Food,TagZ Foods is a supplier of snacks and food products,,,2020
Genius Teacher,Mumbai,Edtech,Genius Teacher creates engaging educational content delivers fun learning experience to the students,2000000.0,,2020
Krimanshi Feeds,Jodhpur,Nutrition Sector,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed,500000.0,,2020
Origo,Gurugram,Agritech,Provider of marketing and warehousing services for agricultural commodities,4000000.0,Debt,2020
Getvantage,Mumbai,Fintech,GetVantage is India and Southeast Asias first fintech enabled Revenuebased financing platform,5000000.0,Seed,2020
Betterplace,Bengaluru,Tech Platform,Developer of a digital verification platform designed to manage the semiformal workforce,10000000.0,Series B,2020
Biddano,Mumbai,Healthcare,Indias 1st techenabled healthcare logistics platform,600000.0,Pre-series A,2020
Invideo,Mumbai,Video,InVideo enables you to transform your content into great videos,15000000.0,Series A,2020
Arzooo,Bengaluru,Retail Tech,Retail tech platform empowering 300000 small retailers in electronics space to compete with big organised players and increase sales,7500000.0,Series A,2020
Hubilo,"San Francisco, California, United States",Tech Company,Worlds smartest virtual event platform that brings Experience  Intelligence together,4500000.0,Seed,2020
Basic Home Loan,Gurugram,Fintech,A platform for automating home loans for middle and lowincome households in India,5000000.0,Seed,2020
Ketos,"San Francisco, United States",Ai Startup,KETOS provides hardware and software analytics solutions and realtime data for usage and flow across water systems,18000000.0,,2020
Sugar Cosmetics,Mumbai,Cosmetics,It is a crueltyfree makeup brand providing cosmetics that is high on style and higher on performance,2000000.0,Debt,2020
Signzy,Bengaluru,Fintech,It is creating building blocks for a Digital Trust system,5400000.0,,2020
Ahaguru,Chennai,Edtech,It is conducting IIT JEE Coach for Physics Math and Chemistry easily,,Series A,2020
Tekion,"San Ramon, California",Ai Startup,It is a cloudbuilt platform with advanced machine learning and AI capabilities for a personalized and seamless consumer experience,150000000.0,Series C,2020
Brighteye Ventures,"Paris, Ile-de-France, France",Edtech,Education technology venture capital firm,5400000.0,,2020
Ezerx,Kolkata,Medtech,Developer and manufacturer of medical devices,200000.0,Seed,2020
Vitaltech,"Plano, Texas, United States",Heathtech,VitalTech is a develop technologies that empower patients to better care for their safety,3000000.0,Seed,2020
Genius Teacher,Mumbai,Edtech,Genius Teacher creates engaging educational content delivers fun learning experience to the students,2000000.0,,2020
Ultraviolette Automotive,Bengaluru,Automobiles,Ultraviolette Automotive is a technology startup working on electric twowheelers and energy infrastructure,4000000.0,Series B,2020
Tring,Mumbai,Social Media,Tring is a celebrity engagement platform for all occasions including birthday anniversaries get well soon messages,,,2020
Rare Planet,Kolkata,Retail Startup,Rare Planet sells handicrafts made by local artisans,400000.0,Pre-series A,2020
Goodgamer,Bengaluru,Gaming,GoodGamer is Indias first Daily Fantasy Sports and true Esports gaming platform,2500000.0,Seed,2020
